timestamp,movie_id,character_id,cluster_size,unique_frames,mean_det,mean_l2_to_centroid
2025-10-16 06:04:35,3,3_merged_32,3,3,0.847616,0.539529
2025-10-16 06:04:35,3,3_merged_33,28,28,0.849947,0.683949
2025-10-16 06:04:35,3,3_merged_34,2,2,0.827578,0.494155
2025-10-16 06:04:35,3,3_merged_35,4,4,0.738634,0.574883
2025-10-16 06:04:35,3,3_merged_36,2,2,0.830368,0.473885
2025-10-16 06:04:35,3,3_merged_37,3,3,0.795507,0.501822
2025-10-16 06:04:35,3,3_merged_38,2,2,0.831052,0.457801
2025-10-16 06:04:35,3,3_merged_39,4,4,0.850378,0.488147
2025-10-16 06:04:35,3,3_merged_4,8,8,0.693334,0.603779
2025-10-16 06:04:35,3,3_merged_40,5,5,0.829282,0.534346
2025-10-16 06:04:35,3,3_merged_41,2,2,0.892981,0.370789
2025-10-16 06:04:35,3,3_merged_42,3,3,0.863798,0.359107
2025-10-16 06:04:35,3,3_merged_5,50,50,0.821244,0.668189
2025-10-16 06:04:35,3,3_merged_6,2,2,0.811025,0.440444
2025-10-16 06:04:35,3,3_merged_7,2,2,0.792498,0.419908
2025-10-16 06:04:35,3,3_merged_8,2,2,0.651633,0.361126
2025-10-16 06:04:35,3,3_merged_9,3,3,0.712748,0.225685
2025-10-16 06:12:31,0,0_0,8,8,0.823673,0.530878
2025-10-16 06:14:33,0,0_0,8,8,0.823673,0.530878
2025-10-16 06:18:21,0,0_0,8,8,0.823673,0.530878
2025-10-16 06:20:03,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:20:03,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:20:03,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:20:03,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:20:03,0,0_merged_5,2,2,0.827721,0.160334
2025-10-16 06:20:03,0,0_merged_6,2,2,0.840405,0.409612
2025-10-16 06:20:03,0,0_merged_7,3,3,0.830522,0.348943
2025-10-16 06:21:13,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:21:13,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:21:13,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:21:13,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:21:13,0,0_merged_5,2,2,0.827721,0.160334
2025-10-16 06:21:13,0,0_merged_6,2,2,0.840405,0.409612
2025-10-16 06:21:13,0,0_merged_7,3,3,0.830522,0.348943
2025-10-16 06:22:51,0,0_2,12,12,0.818303,0.539746
2025-10-16 06:24:55,0,0_2,12,12,0.818303,0.539746
2025-10-16 06:27:02,0,0_merged_1,6,6,0.84213,0.624112
2025-10-16 06:27:02,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:27:02,0,0_merged_3,3,3,0.710836,0.145259
2025-10-16 06:27:02,0,0_merged_4,3,3,0.830522,0.348943
2025-10-16 06:28:33,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:28:33,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:28:33,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:28:33,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:28:33,0,0_merged_5,2,2,0.827721,0.160334
2025-10-16 06:28:33,0,0_merged_6,2,2,0.840405,0.409612
2025-10-16 06:28:33,0,0_merged_7,3,3,0.830522,0.348943
2025-10-16 06:29:19,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:29:19,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:29:19,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:29:19,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:29:19,0,0_merged_5,2,2,0.827721,0.160334
2025-10-16 06:29:19,0,0_merged_6,2,2,0.840405,0.409612
2025-10-16 06:29:19,0,0_merged_7,3,3,0.830522,0.348943
2025-10-16 06:30:01,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:30:01,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:30:01,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:30:01,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:30:01,0,0_merged_5,2,2,0.827721,0.160334
2025-10-16 06:30:01,0,0_merged_6,2,2,0.840405,0.409612
2025-10-16 06:30:01,0,0_merged_7,3,3,0.830522,0.348943
2025-10-16 06:30:49,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:30:49,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:30:49,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:30:49,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:30:49,0,0_merged_5,2,2,0.827721,0.160334
2025-10-16 06:30:49,0,0_merged_6,2,2,0.840405,0.409612
2025-10-16 06:30:49,0,0_merged_7,3,3,0.830522,0.348943
2025-10-16 06:31:51,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:31:51,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:31:51,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:31:51,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:31:51,0,0_merged_5,4,4,0.834979,0.417639
2025-10-16 06:35:08,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:35:08,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:35:08,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:35:08,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:35:08,0,0_merged_5,4,4,0.834979,0.417639
2025-10-16 06:36:04,0,0_merged_1,12,12,0.852147,0.674295
2025-10-16 06:36:04,0,0_merged_2,15,15,0.810904,0.577512
2025-10-16 06:36:04,0,0_merged_3,2,2,0.718709,0.296939
2025-10-16 06:36:04,0,0_merged_4,3,3,0.710836,0.145259
2025-10-16 06:36:04,0,0_merged_5,4,4,0.834979,0.417639
2025-10-20 07:03:24,0,0_merged_1,12,12,0.852147,0.674295
2025-10-20 07:03:24,0,0_merged_2,15,15,0.810904,0.577512
2025-10-20 07:03:24,0,0_merged_3,2,2,0.718709,0.296939
2025-10-20 07:03:24,0,0_merged_4,3,3,0.710836,0.145259
2025-10-20 07:03:24,0,0_merged_5,4,4,0.834979,0.417639
2025-11-26 15:04:17,2,2_merged_1,7,7,0.814346,0.445514
2025-11-26 15:04:17,2,2_merged_2,3,3,0.811173,0.115732
2025-11-26 15:04:17,2,2_merged_3,10,10,0.842403,0.596149
2025-11-26 15:04:17,2,2_merged_4,4,4,0.832328,0.444876
