timestamp,movie_id,character_id,cluster_size,unique_frames,mean_det,mean_l2_to_centroid
2025-10-16 04:32:04,2,2_merged_1,5,5,0.842189,0.479276
2025-10-16 04:32:04,2,2_merged_2,5,5,0.842617,0.198064
2025-10-16 04:32:04,2,2_merged_3,6,6,0.85286,0.461147
2025-10-16 04:32:04,2,2_merged_4,7,7,0.814346,0.445514
2025-10-16 04:58:11,2,2_merged_1,6,6,0.85286,0.461147
2025-10-16 04:58:11,2,2_merged_2,7,7,0.814346,0.445514
2025-10-16 04:58:11,2,2_merged_3,5,5,0.842189,0.479276
2025-10-16 04:58:11,2,2_merged_4,5,5,0.842617,0.198064
2025-10-16 04:58:11,2,2_merged_5,4,4,0.832328,0.444876
2025-10-16 05:06:34,2,2_merged_1,7,7,0.814346,0.445514
2025-10-16 05:06:34,2,2_merged_2,3,3,0.811173,0.115732
2025-10-16 05:06:34,2,2_merged_3,5,5,0.842189,0.479276
2025-10-16 05:06:34,2,2_merged_4,5,5,0.842617,0.198064
2025-10-16 05:06:34,2,2_merged_5,4,4,0.832328,0.444876
2025-10-16 05:19:51,2,2_merged_1,7,7,0.814346,0.445514
2025-10-16 05:19:51,2,2_merged_2,3,3,0.811173,0.115732
2025-10-16 05:19:51,2,2_merged_3,10,10,0.842403,0.596149
2025-10-16 05:19:51,2,2_merged_4,4,4,0.832328,0.444876
2025-10-16 05:21:30,0,0_merged_1,11,11,0.81212,0.583625
2025-10-16 05:21:30,0,0_merged_2,7,7,0.84045,0.648725
2025-10-16 05:21:30,0,0_merged_3,3,3,0.830522,0.348943
2025-10-16 06:04:35,3,3_merged_1,69,69,0.834283,0.671968
2025-10-16 06:04:35,3,3_merged_10,3,3,0.742353,0.198994
2025-10-16 06:04:35,3,3_merged_11,4,4,0.878734,0.502891
2025-10-16 06:04:35,3,3_merged_12,3,3,0.562018,0.486438
2025-10-16 06:04:35,3,3_merged_13,2,2,0.72188,0.346186
2025-10-16 06:04:35,3,3_merged_14,2,2,0.87147,0.321106
2025-10-16 06:04:35,3,3_merged_15,2,2,0.810216,0.37278
2025-10-16 06:04:35,3,3_merged_16,3,3,0.860016,0.424353
2025-10-16 06:04:35,3,3_merged_17,4,4,0.880111,0.589726
2025-10-16 06:04:35,3,3_merged_18,2,2,0.87713,0.287003
2025-10-16 06:04:35,3,3_merged_19,6,6,0.875427,0.315796
2025-10-16 06:04:35,3,3_merged_2,5,5,0.806603,0.425083
2025-10-16 06:04:35,3,3_merged_20,3,3,0.872336,0.370146
2025-10-16 06:04:35,3,3_merged_21,2,2,0.879048,0.384488
2025-10-16 06:04:35,3,3_merged_22,2,2,0.872444,0.277645
2025-10-16 06:04:35,3,3_merged_23,4,4,0.834847,0.56665
2025-10-16 06:04:35,3,3_merged_24,98,98,0.814465,0.710434
2025-10-16 06:04:35,3,3_merged_25,2,2,0.78334,0.358674
2025-10-16 06:04:35,3,3_merged_26,2,2,0.696588,0.238835
2025-10-16 06:04:35,3,3_merged_27,10,10,0.75045,0.60751
2025-10-16 06:04:35,3,3_merged_28,46,46,0.850006,0.66614
2025-10-16 06:04:35,3,3_merged_29,2,2,0.577047,0.30664
2025-10-16 06:04:35,3,3_merged_3,13,13,0.825925,0.65067
2025-10-16 06:04:35,3,3_merged_30,3,3,0.756805,0.521687
2025-10-16 06:04:35,3,3_merged_31,3,3,0.823249,0.45097
